id,label,parentId
Abit Khind,Abit Khind,Akola
Agar,Agar,Akola
Agastinagar (N.V.),Agastinagar (N.V.),Akola
Akola,Akola,Akola
Ambad,Ambad,Akola
Ambevangan,Ambevangan,Akola
Ambhol,Ambhol,Akola
Ambikanagar (N.V.),Ambikanagar (N.V.),Akola
Ambit,Ambit,Akola
Aurangpur,Aurangpur,Akola
Babhul Wandi,Babhul Wandi,Akola
Badgi,Badgi,Akola
Bahirwadi,Bahirwadi,Akola
Balthan,Balthan,Akola
Baravwadi,Baravwadi,Akola
Bari,Bari,Akola
Belapur,Belapur,Akola
Bhandardara,Bhandardara,Akola
Bhojadarawadi (N.V.),Bhojadarawadi (N.V.),Akola
Bholewadi,Bholewadi,Akola
Bitaka,Bitaka,Akola
Bori,Bori,Akola
Bramhanwada,Bramhanwada,Akola
Chaitanyapur,Chaitanyapur,Akola
Chandgirwadi,Chandgirwadi,Akola
Chand Suraj,Chand Suraj,Akola
Chas,Chas,Akola
Chichondi,Chichondi,Akola
Chinchavane,Chinchavane,Akola
Chital Wedhe,Chital Wedhe,Akola
Dagadwadi,Dagadwadi,Akola
Deogaon,Deogaon,Akola
Deothan,Deothan,Akola
Dhagewadi,Dhagewadi,Akola
Dhamangaon-Awari,Dhamangaon-Awari,Akola
Dhamangaon Pat,Dhamangaon Pat,Akola
Dhamanvan,Dhamanvan,Akola
Dhokri,Dhokri,Akola
Dhumalwadi,Dhumalwadi,Akola
Digambar,Digambar,Akola
Dongargaon,Dongargaon,Akola
Dongarwadi,Dongarwadi,Akola
Ekdare,Ekdare,Akola
Esarthav,Esarthav,Akola
Ganore,Ganore,Akola
Gardani,Gardani,Akola
Garwadi,Garwadi,Akola
Ghatghar,Ghatghar,Akola
Ghodsarwadi,Ghodsarwadi,Akola
Ghoti,Ghoti,Akola
Godewadi,Godewadi,Akola
Gondoshi,Gondoshi,Akola
Guhire,Guhire,Akola
Hivargaon,Hivargaon,Akola
Induri,Induri,Akola
Jachakwadi,Jachakwadi,Akola
Jahagirdarwadi,Jahagirdarwadi,Akola
Jambhale,Jambhale,Akola
Jamgaon,Jamgaon,Akola
Jaynawadi,Jaynawadi,Akola
Kalamb,Kalamb,Akola
Kalas Bk.,Kalas Bk.,Akola
Kalas Kh.,Kalas Kh.,Akola
Kalewadi (N.V.),Kalewadi (N.V.),Akola
Kanasewadi (N.V.),Kanasewadi (N.V.),Akola
Karandi,Karandi,Akola
Katalapur,Katalapur,Akola
Kauthewadi,Kauthewadi,Akola
Keli Kotul,Keli Kotul,Akola
Keli Otur,Keli Otur,Akola
Keli Rumhanwadi,Keli Rumhanwadi,Akola
Kelungan,Kelungan,Akola
Khadki Bk.,Khadki Bk.,Akola
Khadki Kh.,Khadki Kh.,Akola
Khanapur,Khanapur,Akola
Khetewadi,Khetewadi,Akola
Khirvire,Khirvire,Akola
Khuntewadi,Khuntewadi,Akola
Kodni,Kodni,Akola
Kohane,Kohane,Akola
Kohondi,Kohondi,Akola
Koltembhe,Koltembhe,Akola
Kombhalne,Kombhalne,Akola
Kothale,Kothale,Akola
Kotul,Kotul,Akola
Kumbhefal,Kumbhefal,Akola
Kumshet,Kumshet,Akola
Ladgaon,Ladgaon,Akola
Lahit Bk.,Lahit Bk.,Akola
Lahit Kh.,Lahit Kh.,Akola
Lavhali Kotul,Lavhali Kotul,Akola
Lavhali Otur,Lavhali Otur,Akola
Lingdev,Lingdev,Akola
Mahadeowadi,Mahadeowadi,Akola
Malegaon,Malegaon,Akola
Manhere,Manhere,Akola
Manik Ozar,Manik Ozar,Akola
Manoharpur,Manoharpur,Akola
Manyale,Manyale,Akola
Maveshi,Maveshi,Akola
Mehenduri,Mehenduri,Akola
Mhaladevi,Mhaladevi,Akola
Mhalungi,Mhalungi,Akola
Mogras,Mogras,Akola
Morwadi (N.V.),Morwadi (N.V.),Akola
Murshet,Murshet,Akola
Muthalane,Muthalane,Akola
